CustomerID,PurchaseFrequency,CustomerLifetimeValue,AverageTransactionValue,UniqueProducts,TotalQuantity,Recency,AvgRollingAmount
12346.0,1,77183.6,77183.6,1,74215,326,77183.6
12347.0,7,4310.0,23.681318681318682,103,2458,2,23.766117216117216
12348.0,4,1797.24,57.97548387096774,22,2341,75,57.10236559139784
12349.0,1,1757.55,24.076027397260273,73,631,19,21.402283105022832
12350.0,1,334.4,19.670588235294115,17,197,310,19.870588235294118
12352.0,8,2506.04,29.482823529411764,59,536,36,28.989686274509804
12353.0,1,89.0,22.25,4,20,204,20.612499999999997
12354.0,1,1079.4,18.610344827586207,58,530,232,18.750574712643676
12355.0,1,459.4,35.33846153846154,13,240,214,36.838461538461544
12356.0,3,2811.43,47.65135593220339,53,1591,23,48.63372881355932
12357.0,1,6207.67,47.38679389312977,131,2708,33,47.40511450381679
12358.0,2,1168.06,61.47684210526315,13,248,2,56.43122807017544
12359.0,4,6310.03,25.755224489795918,214,1609,58,25.701074829931972
12360.0,3,2662.06,20.63612403100775,105,1165,52,20.03922480620155
12361.0,1,189.9,18.990000000000002,10,91,287,19.575
12362.0,10,5226.23,19.647481203007516,201,2229,3,19.54766917293233
12363.0,2,552.0,24.0,23,408,110,22.428695652173914
12364.0,4,1313.1,15.448235294117646,70,1506,8,15.766470588235295
12365.0,2,641.38,29.153636363636362,22,174,291,19.96757575757576
12367.0,1,168.9,15.354545454545455,11,173,4,14.909090909090908
12370.0,4,3541.94,21.33698795180723,143,2352,51,22.048333333333332
12371.0,2,1887.96,29.96761904761905,63,591,45,26.197777777777777
12372.0,3,1298.04,24.962307692307693,34,794,72,24.931538461538462
12373.0,1,364.6,26.042857142857144,14,197,311,24.97738095238095
12374.0,1,742.9300000000001,22.513030303030305,33,342,25,20.197121212121207
12375.0,2,457.5,26.91176470588235,14,178,11,26.72549019607843
12377.0,2,1628.12,21.144415584415583,72,944,315,20.982943722943723
12378.0,1,4008.62,18.30420091324201,219,2529,130,18.3062100456621
12379.0,2,852.24,21.306,39,407,82,22.293916666666668
12380.0,4,2724.81,26.200096153846154,77,1127,22,25.63070512820513
12381.0,5,1845.31,21.21045977011494,70,808,5,21.08210727969349
12383.0,5,1850.56,18.69252525252525,84,1532,185,18.759191919191917
12384.0,2,585.27,21.676666666666666,26,126,29,21.771111111111114
12386.0,2,401.9,40.19,10,354,338,36.14333333333333
12388.0,6,2780.66,27.8066,57,1462,16,27.461599999999997
12390.0,1,549.84,17.1825,32,353,80,16.6465625
12391.0,1,439.66,4.72752688172043,92,293,22,4.735663082437275
12393.0,4,1582.6000000000001,24.728125000000002,47,816,72,24.549739583333334
12394.0,2,1272.48,47.12888888888889,26,819,64,42.66222222222222
12395.0,12,3018.63,19.350192307692307,91,2118,19,19.340042735042736
12397.0,2,2409.9,19.126190476190477,110,1263,36,18.73456349206349
12398.0,1,1635.6599999999999,19.24305882352941,85,1394,46,17.785803921568625
12399.0,4,1108.65,18.790677966101697,47,1178,119,18.746610169491525
12401.0,1,84.3,16.86,5,11,303,17.685
12402.0,1,225.6,20.509090909090908,11,94,323,20.10909090909091
12403.0,1,427.7,85.53999999999999,5,96,50,110.51333333333335
12405.0,1,1710.39,31.67388888888889,54,857,149,31.358148148148146
12406.0,2,3415.3,32.52666666666667,92,1818,22,32.61009523809524
12407.0,5,1708.1200000000001,22.183376623376624,57,1416,50,22.098095238095237
12408.0,5,2888.55,27.51,81,1409,33,27.07952380952381
12409.0,3,11072.67,101.58412844036697,91,5551,79,101.71091743119264
12410.0,2,693.3299999999999,26.666538461538458,26,211,309,26.77551282051282
12412.0,3,1226.88,20.112786885245903,43,829,75,20.07081967213115
12413.0,3,758.1,19.95,29,286,67,19.767763157894738
12414.0,3,562.41,31.244999999999997,16,300,217,29.930185185185184
12415.0,21,124914.53,174.95032212885152,444,77374,24,174.8253921568628
12417.0,9,3649.1,19.005729166666665,158,1552,3,18.927881944444444
12418.0,1,668.58,19.664117647058823,34,407,113,19.80627450980392
12420.0,1,600.39,20.70310344827586,29,345,64,20.51948275862069
12421.0,4,807.04,17.93422222222222,32,484,16,17.66596296296296
12422.0,3,803.5600000000001,20.604102564102565,39,370,96,20.605811965811967
12423.0,8,1859.31,14.87448,97,1339,1,14.866879999999998
12424.0,2,1760.96,58.69866666666667,30,740,163,60.733111111111114
12425.0,1,777.2,21.58888888888889,36,496,78,21.358333333333334
12426.0,1,582.73,19.424333333333333,30,258,195,18.357666666666667
12427.0,3,825.8,26.638709677419353,26,533,22,26.175483870967742
12428.0,9,7956.46,27.062789115646257,258,3536,26,26.907602040816332
12429.0,4,3750.4,38.66391752577319,82,1557,9,39.34707903780069
12430.0,1,256.4,23.30909090909091,11,117,43,20.61212121212121
12431.0,15,6419.95,27.43568376068376,163,2896,36,25.88927350427351
12432.0,5,5059.32,46.845555555555556,107,1801,43,46.99887345679013
12433.0,7,13375.87,31.847309523809525,219,11071,1,31.878166666666672
12434.0,2,806.14,16.122799999999998,46,394,85,16.065133333333332
12435.0,2,7829.89,217.49694444444447,31,2055,80,222.68027777777777
12436.0,1,509.01,31.813125,16,211,100,28.620416666666667
12437.0,18,4951.41,24.88145728643216,118,2922,2,25.156834170854264
12438.0,2,2906.85,29.66173469387755,84,1180,14,27.619557823129256
12441.0,1,173.55,15.77727272727273,11,121,367,15.186363636363637
12442.0,1,172.06,14.338333333333333,12,182,3,13.403611111111111
12444.0,5,5005.46,28.440113636363638,138,1153,21,27.90403409090909
12445.0,1,133.4,33.35,4,62,22,28.491666666666667
12446.0,1,1002.3100000000001,17.584385964912283,57,351,58,17.419239766081873
12447.0,1,476.49,18.326538461538462,26,190,243,17.622692307692308
12448.0,1,449.45,20.429545454545455,22,243,44,18.511363636363637
12449.0,4,4067.29,21.294712041884818,118,1553,22,20.919493891797558
12450.0,2,197.88,24.735,7,128,156,21.0675
12451.0,5,9035.52,25.524067796610172,265,6575,11,25.455499058380408
12452.0,2,430.57,19.571363636363635,21,185,17,17.980454545454545
12453.0,1,707.09,16.443953488372095,43,473,134,16.518372093023256
12454.0,1,3528.34,235.22266666666667,15,1006,56,225.9826666666667
12455.0,6,2466.86,27.409555555555556,85,2089,73,27.427888888888887
12456.0,3,3181.04,25.44832,105,1633,44,24.695520000000002
12457.0,7,2363.23,38.11661290322581,53,843,66,35.269032258064506
12458.0,2,947.4,24.931578947368422,35,506,71,23.91701754385965
12461.0,2,826.88,23.62514285714286,35,287,94,20.080190476190474
12462.0,2,1189.59,19.186935483870965,51,536,19,18.42747311827957
12463.0,4,1344.78,16.202168674698793,65,776,53,16.054859437751002
12464.0,8,1212.05,41.79482758620689,6,112,10,41.10287356321839
12465.0,2,742.1899999999999,15.79127659574468,46,479,17,15.487021276595744
12468.0,2,729.5400000000001,19.19842105263158,36,366,188,19.20631578947368
12471.0,30,19788.65,43.11252723311547,150,8200,2,42.769128540305026
12472.0,7,6572.11,19.386755162241887,219,4148,32,19.394277286135694
12473.0,5,3928.0499999999997,23.52125748502994,140,2414,29,22.32612774451097
