StockCode,Description,TotalQuantity,UniqueCustomers,TotalRevenue
22423,REGENCY CAKESTAND 3 TIER,1832,12,20765.55
85123A,WHITE HANGING HEART T-LIGHT HOLDER,6881,11,20529.85
82484,WOOD BLACK BOARD ANT WHITE FINISH,3643,8,18249.96
21623,VINTAGE UNION JACK MEMOBOARD,2611,3,16701.53
85099B,JUMBO BAG RED RETROSPOT,9309,15,16272.01
22189,CREAM HEART CARD HOLDER,6116,6,14709.6
22470,HEART OF WICKER LARGE,4756,9,14640.9
23084,RABBIT NIGHT LIGHT,6814,9,13848.85
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,2768,9,13185.58
DOT,DOTCOM POSTAGE,16,1,11906.36
